stnname,country_left,country_right
À la Grande Pièce,FRA,FRA
À Lagrave,FRA,FRA
À la Gravière,FRA,FRA
À Lagreou,FRA,FRA
À la Grupe,FRA,FRA
Alahandiko Bidea,FRA,FRA
À la Haute Julerie,FRA,FRA
À la Houille,FRA,FRA
Alaize,FRA,FRA
À la Lande de la Toutenais,FRA,FRA
A la Longeole,FRA,FRA
À la Marianne,FRA,FRA
À la Martinie,FRA,FRA
À la Miraille,FRA,FRA
À la Moulinasse,FRA,FRA
Alando,FRA,FRA
À la Peyrère,FRA,FRA
À Lapierre,FRA,FRA
À la Plaine de Lamouroux,FRA,FRA
À la Praderie,FRA,FRA
À la Prie,FRA,FRA
À la Puissante,FRA,FRA
À la Ran Ouest,FRA,FRA
À la Rode,FRA,FRA
À la Rouille de Plantat,FRA,FRA
À la Simonette,FRA,FRA
À Lasserres,FRA,FRA
À la Terre d'Aillon,FRA,FRA
À la Thibaude,FRA,FRA
À Laure,FRA,FRA
À la Vigne de la Landas,FRA,FRA
À l'Avocat,FRA,FRA
Al Bac Ouest,FRA,FRA
Albafont,FRA,FRA
Al Batut Nord,FRA,FRA
Al Bertranou,FRA,FRA
Albespeyres,FRA,FRA
Albourdic,FRA,FRA
Al Brétou,FRA,FRA
Al Brezié,FRA,FRA
Al Calfour,FRA,FRA
Al Camp d'en Filou,FRA,FRA
Al Claux,FRA,FRA
Alcyone,FRA,FRA
Aldapako Bidea,FRA,FRA
À l'École de Bange,FRA,FRA
À l'Écu,FRA,FRA
Alemcombe,FRA,FRA
À l'Enfermis,FRA,FRA
À l'Équaz,FRA,FRA
À l'Espy,FRA,FRA
À l'Étang Partie Salliès,FRA,FRA
Alevet,FRA,FRA
À Leymard,FRA,FRA
Alez Kergadiou,FRA,FRA
Al Faxille,FRA,FRA
Algoux,FRA,FRA
Al Griffoulet,FRA,FRA
Al Grifoul,FRA,FRA
Alhamendiko Bidea,FRA,FRA
À l'Hermite,FRA,FRA
À Lia Martin,FRA,FRA
À Liauley,FRA,FRA
Alicajo,FRA,FRA
Alieu de l'Aérium,FRA,FRA
Aliguès,FRA,FRA
À l'Intendant,FRA,FRA
À Lioux,FRA,FRA
Alisse,FRA,FRA
Alisson,FRA,FRA
Alivaccia,FRA,FRA
Alivetu,FRA,FRA
Allade,FRA,FRA
Alléant,FRA,FRA
Alleaume,FRA,FRA
Allée Adam de La Halle,FRA,FRA
Allée Adolphe Vard,FRA,FRA
Allée Adrien Thibault,FRA,FRA
Allée Aiguebelle,FRA,FRA
Allée Ail Vert,FRA,FRA
Allée AK 158,FRA,FRA
Allée Albert Friboulet,FRA,FRA
Allée Albizias,FRA,FRA
Allée Aleksandre Borodine,FRA,FRA
Allée Alexis Legrand,FRA,FRA
Allée Alez Vian,FRA,FRA
Allée Alfred Doux,FRA,FRA
Allée À Loup,FRA,FRA
Allée Alphonse Quizet,FRA,FRA
Allée Amélia,FRA,FRA
Allée Amerigo Vespucci,FRA,FRA
Allée André Hiriart,FRA,FRA
Allée André Llorens,FRA,FRA
Allée André Monnier,FRA,FRA
Allée André Rivoire,FRA,FRA
Allée Angéla Duval,FRA,FRA
Allée Angelo Chatas,FRA,FRA
Allée Annaig Renault,FRA,FRA
Allée Antoine Tudela,FRA,FRA
Allée Antonin Barbier,FRA,FRA
Allée Aquablanca,FRA,FRA
Allée Ar Jardin Guersal,FRA,FRA
Allée Armagnac,FRA,FRA
Allée Arsène Jobard,FRA,FRA
Allée Asino,FRA,FRA
Allée Aubrac,FRA,FRA
